DepMap_ID	Subtype	lineage_subtype	lineage_sub_subtype	model_id	gene_symbol
ACH-000001	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00105	TP53
ACH-000001	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00105	ZNF721
ACH-000001	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00105	PIK3R1
ACH-000002	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	AML	M3	SIDM00829	NRAS
ACH-000002	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	AML	M3	SIDM00829	CDKN2A
ACH-000002	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	AML	M3	SIDM00829	TNC
ACH-000003	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00891	NA
ACH-000004	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00594	MCM3AP
ACH-000004	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00594	TP53
ACH-000004	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00594	JAK2
ACH-000005	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	AML	M6	SIDM00593	NA
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	ASXL1
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	MUTYH
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	PTPN6
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	POLE
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	FLT3
ACH-000006	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01023	TP53
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	KRAS
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	SMARCA4
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	RASA2
ACH-000007	Adenocarcinoma	colorectal_adenocarcinoma		SIDM00677	ACVR2A
ACH-000008	Melanoma	melanoma		SIDM00801	BRAF
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	MGA
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	TP53
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	SMAD4
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	APC
ACH-000009	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01233	HLA-A
ACH-000010	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01670	NA
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	PABPC1
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	PABPC1
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	SETD2
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	KLF6
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	SDHB
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	SMARCB1
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	NFE2L2
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	CIITA
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	PIK3CA
ACH-000011	Carcinoma	bladder_carcinoma		SIDM01529	PTPN14
ACH-000012	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01067	TP53
ACH-000012	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01067	EGFR
ACH-000012	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01067	EGFR
ACH-000013	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00093	PIK3R1
ACH-000013	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00093	ZNF721
ACH-000013	Adenocarcinoma, high grade serous	ovary_adenocarcinoma	high_grade_serous	SIDM00093	TP53
ACH-000014	Melanoma	melanoma		SIDM00800	NA
ACH-000015	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	NSCLC	NSCLC_large_cell	SIDM00748	APC
ACH-000015	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	NSCLC	NSCLC_large_cell	SIDM00748	TP53
ACH-000015	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	NSCLC	NSCLC_large_cell	SIDM00748	SMARCA4
ACH-000015	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	NSCLC	NSCLC_large_cell	SIDM00748	POLQ
ACH-000016	Renal Cell Carcinoma	renal_cell_carcinoma		SIDM01862	NA
ACH-000017	Carcinoma	breast_carcinoma	ERneg_HER2pos	SIDM00897	NA
ACH-000018	Carcinoma	bladder_carcinoma		SIDM01184	HRAS
ACH-000018	Carcinoma	bladder_carcinoma		SIDM01184	TP53
ACH-000018	Carcinoma	bladder_carcinoma		SIDM01184	EP300
ACH-000018	Carcinoma	bladder_carcinoma		SIDM01184	FAT1
ACH-000018	Carcinoma	bladder_carcinoma		SIDM01184	KDM6A
ACH-000019	Carcinoma	breast_carcinoma	ERpos_HER2neg	SIDM00148	GATA3
ACH-000019	Carcinoma	breast_carcinoma	ERpos_HER2neg	SIDM00148	EP300
ACH-000019	Carcinoma	breast_carcinoma	ERpos_HER2neg	SIDM00148	PIK3CA
ACH-000019	Carcinoma	breast_carcinoma	ERpos_HER2neg	SIDM00148	NIPBL
ACH-000019	Carcinoma	breast_carcinoma	ERpos_HER2neg	SIDM00148	NBN
ACH-000020	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM00331	KMT2D
ACH-000020	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM00331	NF1
ACH-000020	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM00331	RBM38
ACH-000021	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00742	SMARCA4
ACH-000021	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00742	TP53
ACH-000021	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00742	KDM5C
ACH-000022	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM00452	NA
ACH-000023	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM00453	KRAS
ACH-000023	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM00453	TP53
ACH-000023	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM00453	AMER1
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	ZNF721
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	ZNF721
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	KMT2D
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	NCOR2
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	DIS3
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	TP53
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	FGFR3
ACH-000024	Multiple Myeloma	multiple_myeloma		SIDM00457	CDKN2A
ACH-000025	Meningioma	meningioma		SIDM01543	NA
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	PIK3CA
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	SMARCB1
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	NBEA
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	NBEA
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	PTPRB
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	NFE2L2
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	PTPN14
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	SETD2
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	LZTR1
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	KLF6
ACH-000026	Carcinoma	bladder_carcinoma		SIDM01624	SDHB
ACH-000027	Glioblastoma	glioma	glioblastoma	SIDM01635	PABPC1
ACH-000027	Glioblastoma	glioma	glioblastoma	SIDM01635	PABPC1
ACH-000027	Glioblastoma	glioma	glioblastoma	SIDM01635	PABPC1
ACH-000027	Glioblastoma	glioma	glioblastoma	SIDM01635	EGFR
ACH-000027	Glioblastoma	glioma	glioblastoma	SIDM01635	PTEN
ACH-000027	Glioblastoma	glioma	glioblastoma	SIDM01635	PABPC1
ACH-000027	Glioblastoma	glioma	glioblastoma	SIDM01635	NF2
ACH-000028	Carcinoma	breast_carcinoma	ERpos_HER2neg	SIDM00147	NA
ACH-000029	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01636	NA
ACH-000030	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00237	ZNF626
ACH-000030	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00237	EGFR
ACH-000030	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00237	TP53
ACH-000030	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00237	FAT2
ACH-000030	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00237	KMT2C
ACH-000030	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00237	CDKN2A
ACH-000031	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01325	ARHGEF10
ACH-000031	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01325	SMARCA4
ACH-000031	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01325	TP53
ACH-000031	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01325	KRAS
ACH-000032	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01693	GMPS
ACH-000032	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01693	EPHA3
ACH-000033	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01674	NA
ACH-000034	Acute Myelogenous Leukemia (AML)	AML		SIDM00811	NA
ACH-000035	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00745	EGFR
ACH-000036	Glioblastoma	glioma	glioblastoma	SIDM01421	NA
ACH-000037	Thyroid Sarcoma	thyroid_sarcoma		SIDM00035	FAM186A
ACH-000037	Thyroid Sarcoma	thyroid_sarcoma		SIDM00035	TP53
ACH-000037	Thyroid Sarcoma	thyroid_sarcoma		SIDM00035	NF1
ACH-000037	Thyroid Sarcoma	thyroid_sarcoma		SIDM00035	NF2
ACH-000037	Thyroid Sarcoma	thyroid_sarcoma		SIDM00035	HLA-B
ACH-000038	B-cell	lymphoma_unspecified	b_cell	SIDM01049	NA
ACH-000039	Ewings Sarcoma	Ewing_sarcoma		SIDM00634	LRP1B
ACH-000039	Ewings Sarcoma	Ewing_sarcoma		SIDM00634	BCL2L12
ACH-000039	Ewings Sarcoma	Ewing_sarcoma		SIDM00634	RB1
ACH-000039	Ewings Sarcoma	Ewing_sarcoma		SIDM00634	RB1
ACH-000040	Astrocytoma	glioma	astrocytoma	SIDM01193	CCND2
ACH-000040	Astrocytoma	glioma	astrocytoma	SIDM01193	TP53
ACH-000040	Astrocytoma	glioma	astrocytoma	SIDM01193	IKBKB
ACH-000041	Ewings Sarcoma	Ewing_sarcoma		SIDM01316	MUTYH
ACH-000041	Ewings Sarcoma	Ewing_sarcoma		SIDM01316	TP53
ACH-000042	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01139	POLQ
ACH-000042	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01139	CDKN2A
ACH-000042	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01139	KRAS
ACH-000042	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01139	TP53
ACH-000042	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01139	SMAD4
ACH-000042	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01139	MYH9
ACH-000042	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01139	KEL
ACH-000043	Skin	fibroblast_skin		SIDM01743	NA
ACH-000044	Breast Ductal Carcinoma	breast_ductal_carcinoma	ERpos_HER2neg	SIDM00005	NA
ACH-000045	Acute Myelogenous Leukemia (AML)	AML		SIDM00657	FLT3
ACH-000046	Renal Cell Carcinoma	renal_cell_carcinoma		SIDM00123	MCM3AP
ACH-000046	Renal Cell Carcinoma	renal_cell_carcinoma		SIDM00123	NF2
ACH-000046	Renal Cell Carcinoma	renal_cell_carcinoma		SIDM00123	PBRM1
ACH-000047	Adenocarcinoma	gastric_adenocarcinoma		SIDM00274	SDHB
ACH-000047	Adenocarcinoma	gastric_adenocarcinoma		SIDM00274	TP53
ACH-000047	Adenocarcinoma	gastric_adenocarcinoma		SIDM00274	MAP2
ACH-000047	Adenocarcinoma	gastric_adenocarcinoma		SIDM00274	KMT2D
ACH-000047	Adenocarcinoma	gastric_adenocarcinoma		SIDM00274	CDH1
ACH-000048	Adenocarcinoma, endometrioid	ovary_adenocarcinoma	endometrioid	SIDM01170	SMARCA4
ACH-000048	Adenocarcinoma, endometrioid	ovary_adenocarcinoma	endometrioid	SIDM01170	TP53
ACH-000048	Adenocarcinoma, endometrioid	ovary_adenocarcinoma	endometrioid	SIDM01170	CTNNB1
ACH-000049				SIDM01723	NA
ACH-000050	Multiple Myeloma, plasmacytoma	multiple_myeloma	plasmacytoma	SIDM01148	HSPG2
ACH-000050	Multiple Myeloma, plasmacytoma	multiple_myeloma	plasmacytoma	SIDM01148	NRAS
ACH-000050	Multiple Myeloma, plasmacytoma	multiple_myeloma	plasmacytoma	SIDM01148	BRIP1
ACH-000050	Multiple Myeloma, plasmacytoma	multiple_myeloma	plasmacytoma	SIDM01148	PRKD2
ACH-000050	Multiple Myeloma, plasmacytoma	multiple_myeloma	plasmacytoma	SIDM01148	TENT5C
ACH-000051	Rhabdomyosarcoma	rhabdomyosarcoma		SIDM01760	TRRAP
ACH-000051	Rhabdomyosarcoma	rhabdomyosarcoma		SIDM01760	SMARCA4
ACH-000051	Rhabdomyosarcoma	rhabdomyosarcoma		SIDM01760	DOT1L
ACH-000051	Rhabdomyosarcoma	rhabdomyosarcoma		SIDM01760	FAT1
ACH-000052	Ewings Sarcoma	Ewing_sarcoma		SIDM00848	TP53
ACH-000052	Ewings Sarcoma	Ewing_sarcoma		SIDM00848	BRAF
ACH-000053	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	non_hodgkin_lymphoma	t_cell_ALCL	SIDM01010	TP53
ACH-000054	Fibrosarcoma	fibrosarcoma		SIDM00828	NRAS
ACH-000054	Fibrosarcoma	fibrosarcoma		SIDM00828	RMI2
ACH-000054	Fibrosarcoma	fibrosarcoma		SIDM00828	IDH1
ACH-000054	Fibrosarcoma	fibrosarcoma		SIDM00828	RAC1
ACH-000055	Medulloblastoma	medulloblastoma	med_group_3	SIDM00888	FBN2
ACH-000056	Diffuse Large B-cell Lymphoma (DLBCL)	non_hodgkin_lymphoma	DLBCL	SIDM00981	CREBBP
ACH-000056	Diffuse Large B-cell Lymphoma (DLBCL)	non_hodgkin_lymphoma	DLBCL	SIDM00981	GNA13
ACH-000056	Diffuse Large B-cell Lymphoma (DLBCL)	non_hodgkin_lymphoma	DLBCL	SIDM00981	CCND3
ACH-000056	Diffuse Large B-cell Lymphoma (DLBCL)	non_hodgkin_lymphoma	DLBCL	SIDM00981	DDX3X
ACH-000057	Multiple Myeloma	multiple_myeloma		SIDM00456	NA
ACH-000058	Carcinoma, follicular	thyroid_carcinoma	follicular	SIDM00442	NF1
ACH-000058	Carcinoma, follicular	thyroid_carcinoma	follicular	SIDM00442	TP53
ACH-000058	Carcinoma, follicular	thyroid_carcinoma	follicular	SIDM00442	PRKAR1A
ACH-000059	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01176	RPL5
ACH-000059	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01176	KMT2D
ACH-000060	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01135	RNF43
ACH-000060	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01135	EP300
ACH-000060	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01135	TGFBR2
ACH-000060	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01135	KRAS
ACH-000060	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01135	TP53
ACH-000060	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01135	PBRM1
ACH-000060	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01135	KMT2C
ACH-000061	T-cell, Non-Hodgkins, Cutaneous	non_hodgkin_lymphoma	t_cell_cutaneous	SIDM00671	TP53
ACH-000061	T-cell, Non-Hodgkins, Cutaneous	non_hodgkin_lymphoma	t_cell_cutaneous	SIDM00671	EPHA3
ACH-000061	T-cell, Non-Hodgkins, Cutaneous	non_hodgkin_lymphoma	t_cell_cutaneous	SIDM00671	HLA-B
ACH-000062	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00355	TP53
ACH-000062	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00355	CLTCL1
ACH-000062	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM00355	HLA-B
ACH-000063	Lymphoma	fibroblast_lymphocyte		SIDM01566	KMT2C
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	RUNX1
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	BCORL1
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	ARHGEF12
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	PTPN11
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	CLIP1
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	DICER1
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	NF1
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	SOS1
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	ASXL1
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	TET2
ACH-000065	Acute Myelogenous Leukemia (AML)	AML		SIDM00461	PTPRD
ACH-000066	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01596	EGFR
ACH-000066	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01596	EGFR
ACH-000066	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NSCLC	NSCLC_adenocarcinoma	SIDM01596	TP53
ACH-000067	Oligodendroglioma	glioma	oligodendroglioma	SIDM00666	MTOR
ACH-000067	Oligodendroglioma	glioma	oligodendroglioma	SIDM00666	TP53
ACH-000067	Oligodendroglioma	glioma	oligodendroglioma	SIDM00666	ZBTB20
ACH-000067	Oligodendroglioma	glioma	oligodendroglioma	SIDM00666	EGFR
ACH-000068	B-cell, Non-Hodgkins, Mantle Cell	non_hodgkin_lymphoma	b_cell_mantle_cell	SIDM01773	NA
ACH-000069	B-cell, Hodgkins	hodgkin_lymphoma		SIDM01567	RET
ACH-000070	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01076	NRAS
ACH-000070	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01076	H3-3A
ACH-000070	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01076	KMT2D
ACH-000070	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01076	NBEA
ACH-000070	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01076	ZNF208
ACH-000070	Acute Lymphoblastic Leukemia (ALL), B-cell	ALL	b_cell	SIDM01076	HLA-A
ACH-000071	Bone	fibroblast_bone		SIDM01704	NA
ACH-000072	Chronic Myelogenous Leukemia (CML)	CML		SIDM00526	TP53
ACH-000072	Chronic Myelogenous Leukemia (CML)	CML		SIDM00526	ASXL1
ACH-000072	Chronic Myelogenous Leukemia (CML)	CML		SIDM00526	PPARG
ACH-000072	Chronic Myelogenous Leukemia (CML)	CML		SIDM00526	SDHA
ACH-000072	Chronic Myelogenous Leukemia (CML)	CML		SIDM00526	HLA-B
ACH-000073	B-cell, Non-Hodgkins, Mantle Cell	non_hodgkin_lymphoma	b_cell_mantle_cell	SIDM01058	ATM
ACH-000073	B-cell, Non-Hodgkins, Mantle Cell	non_hodgkin_lymphoma	b_cell_mantle_cell	SIDM01058	ATM
ACH-000074	Chronic Myelogenous Leukemia (CML), blast crisis	CML	blast_crisis	SIDM00308	CBLC
ACH-000074	Chronic Myelogenous Leukemia (CML), blast crisis	CML	blast_crisis	SIDM00308	HLA-A
ACH-000074	Chronic Myelogenous Leukemia (CML), blast crisis	CML	blast_crisis	SIDM00308	LATS2
ACH-000074	Chronic Myelogenous Leukemia (CML), blast crisis	CML	blast_crisis	SIDM00308	TP53
ACH-000074	Chronic Myelogenous Leukemia (CML), blast crisis	CML	blast_crisis	SIDM00308	ASXL1
ACH-000074	Chronic Myelogenous Leukemia (CML), blast crisis	CML	blast_crisis	SIDM00308	ZNF165
ACH-000075	Astrocytoma	glioma	astrocytoma	SIDM01189	PTEN
ACH-000075	Astrocytoma	glioma	astrocytoma	SIDM01189	NF1
ACH-000075	Astrocytoma	glioma	astrocytoma	SIDM01189	EPHA3
ACH-000075	Astrocytoma	glioma	astrocytoma	SIDM01189	PPP3CA
ACH-000075	Astrocytoma	glioma	astrocytoma	SIDM01189	NF1
ACH-000076	Chronic Myelogenous Leukemia (CML)	CML		SIDM01756	KMT2C
ACH-000076	Chronic Myelogenous Leukemia (CML)	CML		SIDM01756	TP53
ACH-000076	Chronic Myelogenous Leukemia (CML)	CML		SIDM01756	BLM
ACH-000077	T-cell, Non-Hodgkins, Cutaneous	non_hodgkin_lymphoma	t_cell_cutaneous	SIDM01692	ARID2
ACH-000078		neuroblastoma		SIDM00387	NA
ACH-000079	Soft tissue	fibroblast_soft_tissue		SIDM01763	TP53
ACH-000080	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	AML	M5	SIDM01522	HLA-A
ACH-000081	Acute Myelogenous Leukemia (AML)	AML		SIDM01057	CBL
ACH-000081	Acute Myelogenous Leukemia (AML)	AML		SIDM01057	PTPN11
ACH-000082	Osteosarcoma	osteosarcoma		SIDM00858	NA
ACH-000083	Breast	fibroblast_breast		SIDM01594	NA
ACH-000084	Acute Myelogenous Leukemia (AML)	AML		SIDM01873	NA
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	GJB2
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	MEN1
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	KMT2C
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	HLA-A
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	POLQ
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	EP300
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	TP53
ACH-000085	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01469	KRAS
ACH-000086	Mesothelioma	mesothelioma		SIDM01526	NF2
ACH-000086	Mesothelioma	mesothelioma		SIDM01526	SMARCA4
ACH-000087	Ewings Sarcoma	Ewing_sarcoma		SIDM01111	TP53
ACH-000087	Ewings Sarcoma	Ewing_sarcoma		SIDM01111	STAG2
ACH-000088	Bladder	fibroblast_urinary_tract		SIDM01616	NA
ACH-000089	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01665	APC
ACH-000089	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01665	FBXW7
ACH-000089	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01665	TP53
ACH-000089	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01665	MET
ACH-000089	Adenocarcinoma	colorectal_adenocarcinoma		SIDM01665	KRAS
ACH-000090	Adenocarcinoma	prostate_adenocarcinoma		SIDM00088	FAT3
ACH-000090	Adenocarcinoma	prostate_adenocarcinoma		SIDM00088	MAP3K13
ACH-000090	Adenocarcinoma	prostate_adenocarcinoma		SIDM00088	HOXA9
ACH-000090	Adenocarcinoma	prostate_adenocarcinoma		SIDM00088	TP53
ACH-000091	Adenocarcinoma, serous	ovary_adenocarcinoma	serous	SIDM00475	PTEN
ACH-000091	Adenocarcinoma, serous	ovary_adenocarcinoma	serous	SIDM00475	KRAS
ACH-000091	Adenocarcinoma, serous	ovary_adenocarcinoma	serous	SIDM00475	PIK3R1
ACH-000091	Adenocarcinoma, serous	ovary_adenocarcinoma	serous	SIDM00475	HLA-A
ACH-000091	Adenocarcinoma, serous	ovary_adenocarcinoma	serous	SIDM00475	ARID1A
ACH-000091	Adenocarcinoma, serous	ovary_adenocarcinoma	serous	SIDM00475	TP53
ACH-000091	Adenocarcinoma, serous	ovary_adenocarcinoma	serous	SIDM00475	CDKN2A
ACH-000092	Mesothelioma	mesothelioma		SIDM00722	BAP1
ACH-000092	Mesothelioma	mesothelioma		SIDM00722	HLA-A
ACH-000093	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01777	SF3B1
ACH-000093	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM01777	KRAS
ACH-000094	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM00669	USP8
ACH-000094	Ductal Adenocarcinoma, exocrine	exocrine	exocrine_adenocarcinoma	SIDM00669	GNA13
